"# GPQA Diamond, self-administered on BOLD gateway, council protocol (T=0, reasoning off). accuracy = n_correct/198 (voids count as wrong); accuracy_excl_void excludes unparseable replies."
model,gpqa_diamond_accuracy,accuracy_excl_void,n_correct,n_void,n_total,bold_model,provider
claude-opus-4.0,71.21,71.94,141,2,198,claude-opus-4.0,Anthropic
claude-opus-4.1,76.77,77.55,152,2,198,claude-opus-4.1,Anthropic
claude-opus-4.5,78.79,78.79,156,0,198,claude-opus-4.5,Anthropic
claude-sonnet-4,72.22,72.22,143,0,198,claude-sonnet-4,Anthropic
gemini-2.5-flash,72.22,77.3,143,13,198,gemini-2.5-flash,GoogleBard
gemini-3.1-pro,80.81,86.49,160,13,198,gemini-3.1-pro,GoogleBard
gpt-4.1-2025-04-14,61.62,62.24,122,2,198,gpt-41-2025-04-14,AzureOpenAI
gpt-4.1-mini,63.13,63.45,125,1,198,gpt-41-mini,AzureOpenAI
gpt-4.1-nano,55.05,55.05,109,0,198,gpt-41-nano,AzureOpenAI
gpt-4o,48.48,48.98,96,2,198,gpt-4o,AzureOpenAI
gpt-4o-2024-08-06,46.46,46.46,92,0,198,gpt-4o-2024-08-06,AzureOpenAI
gpt-4o-mini,43.94,43.94,87,0,198,gpt-4o-mini,AzureOpenAI
