# Appendix A competence table, pooled runs [1, 2, 3], twelve-evaluator basis; atom bootstrap B=1000; sigma1/sigma2=2.2357
# produced by scripts/pooled_criterion_a.py
model,EF_loading,EF_loading_lo95,EF_loading_hi95,EF,EF_lo95,EF_hi95,GF,GF_lo95,GF_hi95
gemini-3.1-pro,0.6124,0.5531,0.6578,8.2398,7.3274,9.2978,6.7797,6.6247,6.8929
claude-opus-4.5,0.5202,0.4727,0.5670,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000
claude-opus-4.0,0.3489,0.2643,0.4181,4.6946,3.4468,6.0406,6.9315,6.8909,6.9685
claude-opus-4.1,0.3457,0.2821,0.4123,4.6511,3.5633,5.9611,6.9931,6.9114,7.0686
gemini-2.5-flash,0.2577,0.1130,0.3666,3.4678,1.6165,5.0468,6.4862,6.2673,6.6847
claude-sonnet-4,0.1763,0.1097,0.2411,2.3718,1.5291,3.3566,6.9637,6.9236,6.9950
gpt-4.1-mini,0.0993,0.0047,0.2261,1.3357,0.0627,3.1947,6.2558,6.0710,6.4309
gpt-4.1-2025-04-14,0.0586,0.0290,0.1139,0.7891,0.3914,1.5322,6.5560,6.3895,6.6878
gpt-4o,0.0353,0.0209,0.0507,0.4749,0.2821,0.6981,5.3347,5.1187,5.5316
gpt-4o-2024-08-06,0.0260,0.0131,0.0432,0.3495,0.1788,0.6089,5.3930,5.1564,5.6250
gpt-4.1-nano,0.0209,0.0090,0.0333,0.2809,0.1223,0.4523,4.8173,4.0115,5.3751
gpt-4o-mini,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1418,3.5964,4.6876
