# twelve-evaluator components on the pooled corpus, runs [1, 2, 3]; sigma1/sigma2 = 2.2357
# produced by scripts/pooled_council_tables.py
model,T,GF,GC,EF,EC
claude-opus-4.1,6.2938,6.9931,7.0088,4.6511,6.5220
claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000
claude-opus-4.0,6.1236,6.9315,6.4460,4.6946,6.4223
claude-sonnet-4,5.4606,6.9637,6.2063,2.3718,6.3008
gemini-3.1-pro,7.0549,6.7797,6.1261,8.2398,7.0741
gemini-2.5-flash,5.4297,6.4862,5.6980,3.4678,6.0669
gpt-4.1-2025-04-14,4.5991,6.5560,5.0501,0.7891,6.0012
gpt-4.1-mini,4.8354,6.2558,5.2477,1.3357,6.5023
gpt-4.1-nano,3.4174,4.8173,3.4810,0.2809,5.0902
gpt-4o,3.0340,5.3347,3.5065,0.4749,2.8200
gpt-4o-2024-08-06,3.4776,5.3930,3.4943,0.3495,4.6736
gpt-4o-mini,2.5017,4.1418,3.5171,0.0000,2.3479
