# council-basis official leaderboard on the pooled corpus, runs [1, 2, 3]: T = 1/4(GF+GC+EF+EC), per-round A.5 bootstrap CI
# produced by scripts/pooled_council_tables.py (seed 20260816, B=1000); ballast ['gpt-4.1-nano', 'gpt-4o-mini']
model,council,T,T_lo95,T_hi95,GF,GC,EF,EC
claude-opus-4.5,yes,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000
gemini-3.1-pro,yes,6.9227,6.6904,7.2381,6.7686,6.1322,7.7838,7.0060
claude-opus-4.1,yes,6.0190,5.7136,6.3216,6.9415,7.0161,3.6509,6.4675
claude-opus-4.0,yes,5.8142,5.4677,6.1172,6.9061,6.4518,3.4908,6.4081
gemini-2.5-flash,yes,5.7476,4.9797,6.2088,6.4618,5.7037,4.3030,6.5218
claude-sonnet-4,no,5.3394,5.0887,5.6469,6.9522,6.2088,2.0708,6.1260
gpt-4.1-mini,no,5.0263,4.3668,5.6199,6.2348,5.2473,1.6570,6.9659
gpt-4.1-2025-04-14,no,4.6559,4.4913,5.0254,6.5867,5.0448,0.7655,6.2266
gpt-4.1-nano,no,3.6824,3.3141,4.0479,4.5511,3.4840,0.2611,6.4336
gpt-4o-2024-08-06,no,3.3364,3.0027,3.5628,5.1926,3.4948,0.1484,4.5097
gpt-4o,no,2.9505,2.5082,3.2873,5.2218,3.5268,0.4432,2.6102
gpt-4o-mini,no,2.3933,1.9626,2.7937,3.7070,3.5259,0.0000,2.3402
