# council-basis official leaderboard on the pooled corpus, runs [1, 2]: T = 1/4(GF+GC+EF+EC), per-round A.5 bootstrap CI
# produced by scripts/pooled_council_tables.py (seed 20260816, B=0); ballast ['gpt-4o-mini', 'gpt-4.1-nano']
model,council,T,T_lo95,T_hi95,GF,GC,EF,EC
claude-opus-4.5,yes,7.0000,nan,nan,7.0000,7.0000,7.0000,7.0000
gemini-3.1-pro,yes,6.7593,nan,nan,6.7053,5.9991,7.3268,7.0060
claude-opus-4.1,yes,6.0375,nan,nan,6.9118,7.0604,3.7100,6.4675
gemini-2.5-flash,yes,5.9938,nan,nan,6.4535,5.6728,5.3272,6.5218
claude-opus-4.0,yes,5.8219,nan,nan,6.8805,6.6081,3.3911,6.4081
claude-sonnet-4,no,5.2084,nan,nan,6.9339,6.2274,1.5462,6.1260
gpt-4.1-mini,no,5.0522,nan,nan,6.1545,5.0334,2.0549,6.9659
gpt-4.1-2025-04-14,no,4.4906,nan,nan,6.6163,4.9938,0.1255,6.2266
gpt-4.1-nano,no,3.6160,nan,nan,4.1804,3.4882,0.3618,6.4336
gpt-4o-2024-08-06,no,3.3341,nan,nan,5.2802,3.3475,0.1992,4.5097
gpt-4o,no,2.9078,nan,nan,5.2115,3.4246,0.3848,2.6102
gpt-4o-mini,no,2.1989,nan,nan,3.1897,3.2658,0.0000,2.3402
