# twelve-evaluator components on the pooled corpus, runs [1, 2]; sigma1/sigma2 = 2.4493
# produced by scripts/pooled_council_tables.py
model,T,GF,GC,EF,EC
claude-opus-4.1,6.2159,6.9426,7.0528,4.3463,6.5220
claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000
claude-opus-4.0,6.0667,6.9093,6.6018,4.3334,6.4223
claude-sonnet-4,5.3135,6.9452,6.2231,1.7849,6.3008
gemini-3.1-pro,6.8519,6.7170,5.9921,7.6246,7.0741
gemini-2.5-flash,5.6674,6.4793,5.6667,4.4565,6.0669
gpt-4.1-2025-04-14,4.4849,6.5907,4.9983,0.3496,6.0012
gpt-4.1-mini,4.8592,6.1813,5.0361,1.7173,6.5023
gpt-4.1-nano,3.3508,4.4196,3.4838,0.4094,5.0902
gpt-4o,2.9640,5.3224,3.4037,0.3098,2.8200
gpt-4o-2024-08-06,3.4739,5.4401,3.3443,0.4374,4.6736
gpt-4o-mini,2.3361,3.7362,3.2601,0.0000,2.3479
